Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,=,+,-,*,/,ID,(,),{,},[,],>,<,!,SEP_COMMA,SYM_ADDR,KEY_INT,KEY_FLOAT,KEY_CHAR,KEY_IF,KEY_ELSE,KEY_STRUCT,VALUE_INT,KEY_RETURN,KEY_WHILE,VALUE_FLOAT,VALUE_STRING,VALUE_CHAR,#END,$,Exp,A,B,MS,S,P,VAL_LIST,VAL_LIST_NEXT,DEF_VAL_LIST,DEF_FUNC,TYPE,OP_LOW,OP_HIGH,VAL_LOC,DEF_VALUE,RETURN,BOOL,CMP,OP_CMP,IF_S,ELSEIF_S,ELSE_S,WHILE_S,DEF_STRUCT,DEF_ARRAY,MULT_DEF,DEF_V,FUNC_START
73,,,,,,,,reduce?VAL_LOC?->?VALUE_FLOAT,,,,,,,,reduce?VAL_LOC?->?VALUE_FLOAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,reduce?VAL_LOC?->?VALUE_STRING,,,,,,,,reduce?VAL_LOC?->?VALUE_STRING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,reduce?VAL_LOC?->?VALUE_CHAR,,,,,,,,reduce?VAL_LOC?->?VALUE_CHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,shift?124,shift?94,shift?95,,,,,reduce?BOOL?->?Exp,,,,,shift?125,shift?126,shift?127,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,123,,,,,,,,,
77,reduce?Exp?->?A,reduce?Exp?->?A,reduce?Exp?->?A,shift?97,shift?98,,,reduce?Exp?->?A,,,,,reduce?Exp?->?A,reduce?Exp?->?A,reduce?Exp?->?A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,
78,reduce?A?->?B,reduce?A?->?B,reduce?A?->?B,reduce?A?->?B,reduce?A?->?B,,,reduce?A?->?B,,,,,reduce?A?->?B,reduce?A?->?B,reduce?A?->?B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,reduce?B?->?VAL_LOC,reduce?B?->?VAL_LOC,reduce?B?->?VAL_LOC,reduce?B?->?VAL_LOC,reduce?B?->?VAL_LOC,,,reduce?B?->?VAL_LOC,,,,,reduce?B?->?VAL_LOC,reduce?B?->?VAL_LOC,reduce?B?->?VAL_LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,shift?129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,reduce?BOOL?->?CMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,shift?130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,reduce?B?->?ID,reduce?B?->?ID,reduce?B?->?ID,reduce?B?->?ID,reduce?B?->?ID,,shift?131,reduce?B?->?ID,,,shift?132,,reduce?B?->?ID,reduce?B?->?ID,reduce?B?->?ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,shift?106,,shift?107,shift?108,,,,,,,,,,shift?109,,,,,,,shift?110,,,shift?111,shift?112,shift?113,,,133,103,104,,,,,,,,,,,105,,,,,,,,,,,,,,
85,,,,,,shift?134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,reduce?VAL_LOC?->?VALUE_INT,reduce?VAL_LOC?->?VALUE_INT,reduce?VAL_LOC?->?VALUE_INT,reduce?VAL_LOC?->?VALUE_INT,reduce?VAL_LOC?->?VALUE_INT,,,reduce?VAL_LOC?->?VALUE_INT,,,,,reduce?VAL_LOC?->?VALUE_INT,reduce?VAL_LOC?->?VALUE_INT,reduce?VAL_LOC?->?VALUE_INT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,reduce?VAL_LOC?->?VALUE_FLOAT,reduce?VAL_LOC?->?VALUE_FLOAT,reduce?VAL_LOC?->?VALUE_FLOAT,reduce?VAL_LOC?->?VALUE_FLOAT,reduce?VAL_LOC?->?VALUE_FLOAT,,,reduce?VAL_LOC?->?VALUE_FLOAT,,,,,reduce?VAL_LOC?->?VALUE_FLOAT,reduce?VAL_LOC?->?VALUE_FLOAT,reduce?VAL_LOC?->?VALUE_FLOAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,reduce?VAL_LOC?->?VALUE_STRING,reduce?VAL_LOC?->?VALUE_STRING,reduce?VAL_LOC?->?VALUE_STRING,reduce?VAL_LOC?->?VALUE_STRING,reduce?VAL_LOC?->?VALUE_STRING,,,reduce?VAL_LOC?->?VALUE_STRING,,,,,reduce?VAL_LOC?->?VALUE_STRING,reduce?VAL_LOC?->?VALUE_STRING,reduce?VAL_LOC?->?VALUE_STRING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,reduce?VAL_LOC?->?VALUE_CHAR,reduce?VAL_LOC?->?VALUE_CHAR,reduce?VAL_LOC?->?VALUE_CHAR,reduce?VAL_LOC?->?VALUE_CHAR,reduce?VAL_LOC?->?VALUE_CHAR,,,reduce?VAL_LOC?->?VALUE_CHAR,,,,,reduce?VAL_LOC?->?VALUE_CHAR,reduce?VAL_LOC?->?VALUE_CHAR,reduce?VAL_LOC?->?VALUE_CHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,shift?135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,shift?137,,,,,,,,shift?9,shift?10,shift?11,,,shift?12,,,,,,,,,,,,,,,,,,,19,,,,4,,,,,,,,,5,6,,136,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shift?138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,shift?54,,shift?55,shift?56,,,,,,,,,,shift?57,,,,,,,shift?58,,,shift?59,shift?60,shift?61,,,,139,52,,,,,,,,,,,53,,,,,,,,,,,,,,
94,,,,reduce?OP_LOW?->?+,,reduce?OP_LOW?->?+,reduce?OP_LOW?->?+,,,,,,,,,,reduce?OP_LOW?->?+,,,,,,,reduce?OP_LOW?->?+,,,reduce?OP_LOW?->?+,reduce?OP_LOW?->?+,reduce?OP_LOW?->?+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,reduce?OP_LOW?->?-,,reduce?OP_LOW?->?-,reduce?OP_LOW?->?-,,,,,,,,,,reduce?OP_LOW?->?-,,,,,,,reduce?OP_LOW?->?-,,,reduce?OP_LOW?->?-,reduce?OP_LOW?->?-,reduce?OP_LOW?->?-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,shift?54,,shift?55,shift?56,,,,,,,,,,shift?57,,,,,,,shift?58,,,shift?59,shift?60,shift?61,,,,,140,,,,,,,,,,,53,,,,,,,,,,,,,,
97,,,,reduce?OP_HIGH?->?*,,reduce?OP_HIGH?->?*,reduce?OP_HIGH?->?*,,,,,,,,,,reduce?OP_HIGH?->?*,,,,,,,reduce?OP_HIGH?->?*,,,reduce?OP_HIGH?->?*,reduce?OP_HIGH?->?*,reduce?OP_HIGH?->?*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
